Speaker,Season,Episode,SeriesNumber,EpisodeCount,EpisodeTotal,EpisodePct
Dwight,6,3,94,29,297,0.097643098
Dwight,6,4,95,85,481,0.176715177
Dwight,6,5,96,52,306,0.169934641
Dwight,6,6,97,30,314,0.095541401
Dwight,6,7,98,14,305,0.045901639
Dwight,6,8,99,50,328,0.152439024
Dwight,6,9,100,30,239,0.125523013
Dwight,6,10,101,26,218,0.119266055
Dwight,6,11,102,36,224,0.160714286
Dwight,6,12,103,37,302,0.122516556
Dwight,6,13,104,17,91,0.186813187
Dwight,6,14,105,9,195,0.046153846
Dwight,6,15,106,40,249,0.16064257
Dwight,6,16,107,48,574,0.083623693
Dwight,6,17,108,33,202,0.163366337
Dwight,6,18,109,43,280,0.153571429
Dwight,6,19,110,34,295,0.115254237
Dwight,6,20,111,18,260,0.069230769
Dwight,6,21,112,45,286,0.157342657
Dwight,6,22,113,38,267,0.142322097
Dwight,6,23,114,37,297,0.124579125
Dwight,6,24,115,19,184,0.10326087
Dwight,7,1,116,21,211,0.099526066
Dwight,7,2,117,48,252,0.19047619
Dwight,7,3,118,17,203,0.083743842
Dwight,7,4,119,42,274,0.153284672
Dwight,7,5,120,56,341,0.164222874
Dwight,7,6,121,14,250,0.056
Dwight,7,7,122,16,236,0.06779661
Dwight,7,8,123,26,268,0.097014925
Dwight,7,9,124,24,273,0.087912088
Dwight,7,10,125,49,289,0.169550173
Dwight,7,11,126,38,552,0.06884058
Dwight,7,12,127,34,307,0.110749186
Dwight,7,13,128,20,249,0.080321285
Dwight,7,14,129,27,282,0.095744681
Dwight,7,15,130,24,350,0.068571429
Dwight,7,16,131,3,70,0.042857143
Dwight,7,17,132,41,271,0.151291513
Dwight,7,18,133,31,288,0.107638889
Dwight,7,19,134,10,160,0.0625
Dwight,7,20,135,13,195,0.066666667
Dwight,7,21,136,16,298,0.053691275
Dwight,7,22,137,20,166,0.120481928
Dwight,7,23,138,74,239,0.309623431
Dwight,7,24,139,44,435,0.101149425
Dwight,8,1,140,38,270,0.140740741
Dwight,8,2,141,21,306,0.068627451
Dwight,8,3,142,38,308,0.123376623
Dwight,8,4,143,29,230,0.126086957
Dwight,8,5,144,21,270,0.077777778
Dwight,8,6,145,51,312,0.163461538
Dwight,8,7,146,55,300,0.183333333
Dwight,8,8,147,30,266,0.112781955
Dwight,8,9,148,52,248,0.209677419
Dwight,8,10,149,28,313,0.089456869
Dwight,8,11,150,34,224,0.151785714
Dwight,8,12,151,47,285,0.164912281
Dwight,8,13,152,58,342,0.169590643
Dwight,8,14,153,67,260,0.257692308
Dwight,8,15,154,63,211,0.298578199
Dwight,8,16,155,60,278,0.215827338
Dwight,8,17,156,53,226,0.234513274
Dwight,8,18,157,45,246,0.182926829
Dwight,8,19,158,21,238,0.088235294
Dwight,8,20,159,22,250,0.088
Dwight,8,21,160,16,289,0.055363322
Dwight,8,22,161,15,213,0.070422535
Dwight,8,23,162,56,239,0.234309623
Dwight,8,24,163,27,241,0.112033195
Dwight,9,1,164,42,220,0.190909091
Dwight,9,2,165,31,293,0.105802048
Dwight,9,3,166,24,242,0.099173554
Dwight,9,4,167,40,302,0.132450331
Dwight,9,5,168,39,240,0.1625
Dwight,9,6,169,34,255,0.133333333
Dwight,9,7,170,53,263,0.201520913
Dwight,9,8,171,57,282,0.20212766
Dwight,9,9,172,59,287,0.205574913
Dwight,9,10,173,18,225,0.08
Dwight,9,11,174,41,228,0.179824561
Dwight,9,12,175,44,249,0.176706827
Dwight,9,13,176,88,210,0.419047619
Dwight,9,14,177,37,221,0.167420814
Dwight,9,15,178,32,235,0.136170213
Dwight,9,16,179,44,423,0.104018913
Dwight,9,17,180,51,142,0.35915493
